feature,shap_cw,shap_smote,rank_cw,rank_smote,rank_diff
first_pmt_date,0.5311366,0.1785332,1,9,8
credit_score,0.5070716,0.55526906,2,2,0
servicer_name,0.3354764,0.392392,3,4,1
orig_dti,0.32961667,0.2813346,4,5,1
seller_name,0.24048449,0.26660576,5,6,1
orig_cltv,0.20849602,0.14192064,6,12,6
maturity_date,0.20797423,0.42326456,7,3,4
orig_upb,0.17749669,0.20562221,8,8,0
orig_interest_rate,0.16525313,0.084648505,9,16,7
zip_3,0.15329193,0.11326958,10,14,4
num_borrowers,0.1292091,0.25440344,11,7,4
loan_purpose,0.08915928,0.15322565,12,10,2
channel,0.08207394,0.14140366,13,13,0
property_state,0.077593885,0.06793097,14,17,3
msa,0.0646748,0.04038639,15,20,5
occupancy_status,0.06381244,0.03478821,16,21,5
property_type,0.058149524,0.0452432,17,18,1
property_val_method,0.041843154,0.77363855,18,1,17
orig_ltv,0.03481886,0.03136322,19,23,4
program_ind,0.014692203,0.031534437,20,22,2
num_units,0.012323833,0.012127792,21,25,4
mi_cancellation_ind,0.0109337885,0.044602986,22,19,3
mi_pct,0.0104124965,0.14530759,23,11,12
first_time_buyer,0.008775748,0.08556777,24,15,9
orig_loan_term,0.00457543,0.020257253,25,24,1
prepay_penalty,0.0,0.0,27,27,0
amort_type,0.0,0.0,27,27,0
io_indicator,0.0,0.0,27,27,0
